                    1  -4.4349436416293821     
                    2  -4.0819618253402599     
                    3  -3.7496549459617201     
                    4  -3.4424657532817671     
                    5  -3.1551492789473374     
                    6  -2.8977634287907561     
                    7  -2.7575374681998728     
                    8  -2.4796496989595167     
                    9  -2.1556251456115825     
                   10  -1.9031314883863335     
                   11  -1.8401550380743599     
                   12  -1.5458337329794065     
                   13  -1.2778863566812777     
                   14  -1.0383578441131329     
                   15 -0.82749045519765796     
                   16 -0.64449773537180122     
                   17 -0.48803143709831598     
                   18 -0.35647812806675255     
                   19 -0.24814796757930491     
                   20 -0.16139158846025989     
                   21  -9.4667769184837686E-002
                   22  -4.6568004147540906E-002
                   23  -1.7747400060053781E-002
                   24  -1.4748212520939802E-002
